user_id,cluster
504,7
505,5
506,6
507,7
508,6
509,2
510,3
511,4
512,1
513,7
514,1
515,2
516,1
517,6
518,1
519,7
520,3
521,0
522,3
523,7
524,5
525,7
526,3
527,6
528,7
529,5
530,6
531,5
532,3
533,5
534,6
535,5
536,6
537,2
538,6
539,5
540,1
541,7
542,1
543,7
544,2
545,4
546,1
547,4
548,0
549,1
550,7
551,6
552,0
553,1
554,2
555,7
556,7
557,7
558,3
559,1
560,7
561,7
562,0
563,0
564,7
565,3
566,7
567,3
568,1
569,1
570,2
571,7
572,2
573,1
574,6
575,7
576,1
577,7
578,6
579,1
580,3
581,1
582,4
583,7
584,1
585,3
586,7
587,5
588,1
589,5
590,6
591,6
592,1
593,1
594,6
595,2
596,3
597,7
598,5
599,0
600,0
601,3
602,7
603,4
604,1
605,7
606,3
607,5
608,6
609,7
610,4
611,2
612,4
613,4
614,5
615,1
616,6
617,7
618,1
619,6
620,0
621,5
622,1
623,1
624,2
625,7
626,0
627,7
628,1
629,6
630,7
631,3
632,7
633,1
634,3
635,1
636,5
637,1
638,0
639,7
640,1
641,1
642,7
643,4
644,7
645,1
646,0
647,0
648,6
649,1
650,1
651,6
652,7
653,5
654,2
655,1
656,7
657,3
658,1
659,7
660,1
661,1
662,3
663,5
664,7
665,7
666,1
667,2
668,1
669,2
670,1
671,7
672,4
673,0
674,6
675,1
676,5
677,3
678,0
679,7
680,1
681,0
682,7
683,2
684,3
685,7
686,1
687,1
688,6
689,6
690,3
691,3
692,1
693,1
694,6
695,3
696,6
697,3
698,0
699,1
700,2
701,6
702,0
703,7
704,6
705,1
706,4
707,7
708,7
709,1
710,7
711,1
712,4
713,1
714,5
715,3
716,3
717,0
718,2
719,3
720,0
721,7
722,1
723,5
724,6
725,6
726,0
727,2
728,1
729,0
730,6
731,2
732,2
733,7
734,7
735,3
736,1
737,7
738,1
739,7
740,1
741,1
742,3
743,7
744,3
745,7
746,5
747,1
748,7
749,7
750,1
751,5
752,7
753,2
754,3
755,1
756,7
757,2
758,2
759,1
760,1
761,1
762,1
763,3
764,7
765,1
766,7
767,1
768,3
769,4
